Manga Index,SA Rating,ANN Rating,MR Rating,Manganelo Views,Total Comments
Death Note (manga),5.137931034482759,8.85,4.8,11.7K,58
Naruto (manga),6.176100628930818,8.1,4.5,86K,159
Bleach (manga),5.877862595419847,8.11,4.7,140.6K,393
Fullmetal Alchemist (manga),7.117647058823529,8.93,4.8,13.9K,34
Fruits Basket (manga),6.938775510204081,8.71,4.7,17.5K,49
Berserk (manga),6.5601631543167915,9.28,4.8,110.1K,1471
One Piece (manga),5.69009009009009,8.67,4.6,289.8K,555
Love Hina (manga),6.375,8.3,4.7,7.1K,16
Rurouni Kenshin (manga),6.095238095238095,8.79,4.9,11K,21
Chobits (manga),5.8,7.98,4.7,2.2K,10
Azumanga Daioh (manga),6.916666666666667,8.63,4.5,2.2K,24
Monster (manga),5.518052057094878,8.53,4.6,119K,1191
"Tsubasa, RESERVoir CHRoNiCLE (manga)",5.625,8.35,4.7,1.7K,16
Yotsuba&! (manga),6.845070422535211,8.88,4.8,12.4K,71
Dragon Ball (manga),6.074074074074074,8.0,4.6,27.7K,27
Hellsing (manga),7.142857142857143,8.44,4.8,3.6K,14
GTO (manga),7.162790697674419,8.78,4.7,18.3K,43
Inuyasha (manga),7.470588235294118,7.43,4.7,16K,34
Negima! Magister Negi Magi (manga),5.7727272727272725,8.32,4.7,15.5K,44
Claymore (manga),6.928571428571429,8.61,4.8,24.8K,112
Gantz (manga),6.4774774774774775,8.47,4.7,59.8K,222
Ouran High School Host Club (manga),6.0476190476190474,8.54,4.8,10.4K,42
xxxHOLiC (manga),6.888888888888889,8.38,4.7,3.9K,9
Cardcaptor Sakura (manga),6.0,8.28,4.7,5.5K,11
20th Century Boys (manga),6.945454545454545,8.63,4.7,17.9K,55
Akira (manga),5.918181818181818,8.7,4.7,60.5K,440
Vampire Knight (manga),4.775757575757575,8.09,4.0,14.1K,165
Absolute Boyfriend (manga),5.868852459016393,7.55,4.8,6.5K,244
Hana-Kimi (manga),6.625,8.42,4.7,4.9K,80
D.Gray-man (manga),5.6239316239316235,8.24,4.8,26.9K,117
Hunter × Hunter (manga),5.948667324777888,8.79,4.4,129K,2026
Kare Kano (manga),5.812865497076023,8.36,4.3,34.6K,342
Hikaru no Go (manga),5.177914110429448,8.26,4.6,37.1K,163
Fairy Tail (manga),5.448028673835125,8.1,4.7,64.6K,279
NANA (manga),5.56,8.66,4.7,119.1K,600
Neon Genesis Evangelion (manga),6.0,8.28,4.6,7.1K,28
D.N.Angel (manga),5.589958158995816,7.76,4.6,32.6K,239
Battle Angel Alita (manga),6.076923076923077,8.61,4.7,5.4K,26
Black Cat (manga by K. Yabuki),6.5,7.91,4.7,4K,8
Elfen Lied (manga),6.375,8.26,4.6,7.1K,32
Strawberry 100% (manga),6.558139534883721,8.26,4.4,5.5K,43
Angel Sanctuary (manga),4.8,8.25,4.7,784,5
Genshiken (manga),6.0,8.65,4.6,2K,5
Trigun (manga),4.8,7.92,4.7,2.6K,5
Full Moon O Sagashite (manga),10.0,8.19,4.6,668,2
Skip Beat! (manga),6.350710900473934,8.88,4.8,33.3K,211
Vagabond (manga),5.772594752186589,9.05,4.8,81K,343
Chrono Crusade (manga),10.0,8.32,4.8,994,1
Fushigi Yûgi (manga),8.0,7.84,4.6,1.1K,3
YuYu Hakusho (manga),5.733333333333333,7.78,4.7,7.5K,30
FLCL (manga),6.285714285714286,6.92,4.8,513,7
Rosario + Vampire (manga),7.0625,7.93,4.8,11.5K,32
Blade of the Immortal (manga),6.75,8.6,4.7,2K,24
Shaman King (manga),6.051282051282051,7.45,4.6,17.5K,39
Bitter Virgin (manga),7.0,8.46,4.6,1.5K,16
Magic Knight Rayearth (manga),5.0,7.46,4.6,309,4
Sailor Moon (manga),6.0,7.85,4.6,2.1K,9
I''s (manga),5.341670835417709,8.28,4.8,713.2K,1999
Alice 19th (manga),7.333333333333333,7.37,4.9,400,3
.hack//Legend of the Twilight (manga),2.0,7.16,4.2,335,1
Battle Royale (manga),6.170212765957447,7.89,4.0,9.1K,94
Yokohama Kaidashi Kikou (manga),8.363636363636363,7.96,4.9,2.4K,11
Oh My Goddess! (manga),8.0,7.8,4.6,4.9K,12
Mars (manga),5.461187214611872,8.41,4.4,31.7K,219

Bakuman. (manga),8.166666666666666,8.61,4.8,9.3K,24
School Rumble (manga),7.857142857142857,8.12,4.8,734,14
Paradise Kiss (manga),5.0,8.36,4.3,2.9K,4
Air Gear (manga),6.275862068965517,7.81,4.8,15.3K,145
Pluto (manga),5.89517819706499,8.83,4.7,111.9K,1431
Maison Ikkoku (manga),7.0,8.58,4.8,2K,4
Welcome to the N.H.K. (manga),6.032520325203252,8.33,4.8,18.3K,123
Slam Dunk (manga),6.840579710144928,8.68,4.8,25.6K,69
Case Closed (manga),5.875647668393782,8.06,4.6,51.6K,193
Marmalade Boy (manga),6.571428571428571,7.9,4.4,1.2K,7
Kodocha - Sana's Stage (manga),7.142857142857143,8.44,4.6,1.7K,7
Midori's Days (manga),6.75,8.05,4.8,2K,16
Hot Gimmick (manga),6.0,7.46,4.3,1.4K,14
Chibi Vampire (manga by Y. Kagesaki),8.6,7.91,4.6,2.4K,10
Imadoki! Nowadays (manga),6.0,7.69,4.8,406,1
Uzumaki (manga),5.6976744186046515,8.1,4.6,9.4K,86
Future Diary (manga),5.538461538461538,8.21,4.6,4.1K,13
Yu-Gi-Oh! (manga),5.11219512195122,6.48,4.3,12.2K,205
Soul Eater (manga),6.791666666666667,8.3,4.7,17.8K,48
X (manga),4.90744920993228,8.13,1.3,357.4K,886
"Clover (manga, CLAMP)",5.632958801498128,8.01,4.6,169.7K,534
Wish (manga),6.296622613803231,7.38,4.5,44.4K,681
Aishiteruze Baby (manga),2.0,7.9,4.4,1.4K,3
Angelic Layer (manga),10.0,6.87,5 /,572,1
Cowboy Bebop (manga),8.0,6.75,4.4,554,1
Loveless (manga),4.5,8.12,4.4,1.3K,4
Pretty Face (manga),4.5,8.15,4.7,1.1K,8
Boys Over Flowers (manga),7.578947368421052,7.98,4.5,4.8K,19
Eyeshield 21 (manga),6.814814814814815,8.38,4.8,25.4K,54
Tokyo Babylon (manga),4.0,8.38,4.7,407,3
Mushishi (manga),9.6,8.83,4.8,1.3K,5
Ai Yori Aoshi (manga),7.0,7.62,4.9,2.2K,8
Vinland Saga (manga),5.925925925925926,8.16,4.8,95.2K,378
Suzuka (manga),5.931034482758621,8.01,4.7,14K,87
Full Metal Panic! (manga),2.0,7.73,4.7,2.4K,1
Blame! (manga),5.575757575757576,8.32,4.8,11.4K,66
Samurai Deeper Kyo (manga),6.333333333333333,7.56,4.5,10.4K,24
Emma (manga),5.541666666666667,8.54,4.6,4.7K,48
(The) Prince of Tennis (manga),4.962962962962963,7.46,4.5,13.5K,27
Saikano (manga),6.666666666666667,8.66,4.8,562,3
(The) Wallflower (manga),6.695652173913044,7.82,4.7,3.9K,23
Beck (manga),6.88,8.67,4.7,3.3K,25
Parasyte (manga),5.916666666666667,8.45,4.9,2.6K,24
Pet Shop of Horrors (manga),6.4,8.33,4.7,1.6K,10
High School Debut (manga),7.733333333333333,8.12,4.6,3K,15
FAKE (manga),5.833333333333333,8.17,4.2,19.9K,84
Attack on Titan (manga),5.4282818043588446,8.42,4.5,149.7K,1973
Planetes (manga),6.0,8.59,4.7,847,3
MeruPuri - The Marchen Prince (manga),8.0,8.06,4.6,636,6
Highschool of the Dead (manga),4.632911392405063,8.13,4.7,11.4K,79
Video Girl Ai (manga),5.142857142857143,7.65,4.6,958,7
Flame of Recca (manga),5.5,7.79,4.7,4.8K,16
Maid-sama! (manga),7.094017094017094,8.28,4.8,30K,117
Black Butler (manga),5.590551181102362,8.47,4.7,38.6K,127
Rave Master (manga),6.571428571428571,7.61,4.8,10.7K,14
Tokyo Mew Mew (manga),4.4,6.64,4.5,668,5
Reborn! (manga),4.794835007173601,7.96,4.5,120.1K,697
Gunslinger Girl (manga),7.2,8.44,4.7,1.9K,10
Godchild (manga),6.0,7.97,4.6,300,2
(The) Gentlemen's Alliance Cross (manga),4.0,8.0,4.6,981,2
M×0 (manga),5.700754975978037,8.49,4.8,184.3K,1457
O-Parts Hunter (manga),6.9411764705882355,7.62,4.4,2.8K,17
Descendants of Darkness (manga),2.0,7.65,4.5,182,2
Solanin (manga),5.5,8.78,4.6,2.8K,8
21st Century Boys (manga),9.428571428571429,8.7,4.7,2.3K,7
Girl Got Game (manga),7.5,7.79,4.5,956,4
Beast Master (manga by K. Motomi),5.678832116788321,8.23,4.6,18.7K,137
Shijō Saikyō no Deshi Kenichi (manga),6.944162436548224,8.59,4.7,74.9K,197
Zombie Powder (manga),5.666666666666667,7.11,4.7,1K,6
To Love Ru (manga),5.623409669211196,7.64,4.7,49.5K,393
Rosario + Vampire Season II (manga),7.0625,8.45,4.8,11.5K,32
Yakitate!! Japan (manga),4.545454545454546,8.19,4.6,4K,11
Only the Ring Finger Knows (manga),7.0,8.28,4.8,584,2
Tenjo Tenge (manga),5.636363636363637,7.04,4.3,4.4K,22
Nodame Cantabile (manga),9.333333333333334,8.57,4.8,2.2K,9
Love*Com (manga),5.623409669211196,8.46,4.7,49.5K,393
Basilisk (manga),7.333333333333333,7.75,4.7,1.6K,6
Millennium Snow (manga),7.5,7.42,4.5,462,4
Hajime no Ippo (manga),5.696428571428571,8.94,4.5,137.6K,336
Kimi ni Todoke - From Me to You (manga),6.5625,8.46,4.7,17K,64
Lilim Kiss (manga),7.5,7.16,4.3,642,4
Pita-Ten (manga),5.658536585365853,7.3,4.7,8.1K,41
+Anima (manga),5.992055610724925,7.46,4.7,82.4K,2014
Deadman Wonderland (manga),6.551724137931035,7.98,4.7,11.4K,29
A.I. Love You (manga),5.623409669211196,7.12,4.7,49.5K,393
Battle Angel Alita: Last Order (manga),6.6,8.35,4.8,5.3K,10
Pandora Hearts (manga),6.734177215189874,8.56,4.7,6.7K,79
My-HiME (manga),5.464150943396226,6.23,4.7,12K,265
Steel Ball Run (manga),6.733542319749216,9.7,4.8,37.7K,319
Red River (manga),8.333333333333334,8.07,4.7,7.3K,36
Beauty Pop (manga),8.571428571428571,7.67,4.9,2.4K,7
"Eden - It's an Endless World! (manga, Hiroki Endo)",5.904761904761905,8.36,4.5,3.1K,21
S.A (manga),5.336336336336337,7.97,4.8,713.4K,1998
Buso Renkin (manga),6.0,7.06,4.7,1.8K,3
Hayate the Combat Butler (manga),5.788461538461538,8.19,4.7,9.8K,104
GetBackers (manga),6.857142857142857,7.15,4.8,2.8K,21
Peach Girl (manga),4.142857142857143,7.31,4 /,5K,14
Kingdom Hearts (manga),8.0,7.06,4.8,1.8K,1
Girlfriends (manga),6.158783783783784,8.64,4.7,30.1K,1184
Fushigi Yûgi: Genbu Kaiden (manga),8.0,8.2,4.5,944,3
Kekkaishi (manga),4.529644268774703,7.98,4.2,17.4K,506
(The) World God Only Knows (manga),6.188405797101449,8.55,4.7,21.9K,138
Kare First Love (manga),5.684210526315789,7.67,4.6,3.4K,19
Angel Densetsu (manga),7.868613138686132,8.57,4.9,6.5K,137
Aria (manga),5.671794871794872,8.35,4.7,158.9K,585
Dengeki Daisy (manga),8.24390243902439,8.54,4.7,8.7K,41
Excel Saga (manga),2.0,7.21,5 /,398,1
DearS (manga),7.6,7.26,4.7,818,5
Bunny Drop (manga),4.9397590361445785,7.87,4.0,3.1K,83
Gakuen Alice (manga),7.5,8.48,4.8,8.9K,40
"Lone Wolf and Cub (manga, Kazuo Koike)",7.0,8.92,4.8,465,2
Love Monster (manga),4.666666666666667,7.8,4.3,3.2K,6
Psyren (manga),6.545454545454546,8.23,4.8,14.3K,66
Knights of the Zodiac (manga),4.666666666666667,7.39,4.8,2.1K,3
Wolf's Rain (manga),4.857142857142857,6.93,4.8,567,7
JoJo's Bizarre Adventure (manga),5.747826086956522,8.24,4.6,56.6K,230
Blue Exorcist (manga),5.686274509803922,8.19,4.7,32.3K,51
Onegai Teacher (manga),5.5,7.12,4.8,243,8
After School Nightmare (manga),5.5,8.03,4.5,710,4
Basara (manga),6.285714285714286,8.36,4.6,1.9K,7
Cowboy Bebop Shooting Star (manga),10.0,6.18,4.5,408,1
MÄR (manga),5.618257261410788,6.86,4.6,541.5K,241
W Juliet (manga),7.968253968253968,7.9,4.8,13.4K,63
ES (manga),5.336336336336337,8.24,4.8,713.4K,1998
A Town Where You Live (manga),5.258064516129032,8.58,4.3,12.2K,124
Gyo (manga),5.915110356536503,7.24,4.7,84.7K,589
Black Lagoon (manga),6.412698412698413,8.44,4.8,14.9K,63
Beelzebub (manga),6.0,7.91,4.8,28.9K,62
Sgt. Frog (manga),7.5,7.61,4.7,958,4
Shirahime-Syo: Snow Goddess Tales (manga),10.0,7.69,4.4,128,1
(The) Devil Does Exist (manga),8.5,7.92,4.5,1.3K,4
Gunsmith Cats (manga),7.0,7.99,5 /,743,2
(The) Melancholy of Haruhi Suzumiya (manga),6.8,7.75,4.6,1.7K,10
Ghost in the Shell 2: Man-Machine Interface (manga),6.0,7.34,4.7,505,1
Gin Tama (manga),6.909090909090909,8.14,4.7,24K,66
Shugo Chara! (manga),6.0,7.91,4.5,1.6K,3
Kimagure Orange Road (manga),6.0,8.31,4.4,1.8K,6
You're My Pet (manga),6.3076923076923075,8.11,4.6,2.6K,13
Junjo Romantica (manga),6.714285714285714,8.5,4.6,9.1K,28
Buddha (manga),6.75,8.34,4.5,1.2K,8
Immortal Rain (manga),8.4,8.25,4.8,1.2K,5
A Silent Voice (manga),6.253968253968254,8.78,4.8,10.7K,63
Land of the Blindfolded (manga),8.8,7.74,4.6,861,5
Please Save My Earth (manga),8.0,8.02,4.5,465,7
Psychic Academy (manga),4.0,6.85,4.6,572,1
Cross Game (manga),5.042016806722689,8.82,4.3,8.5K,119
Kashimashi ~Girl Meets Girl~ (manga),4.4,7.93,4.6,643,5
Aqua (manga),5.731343283582089,8.09,4.5,8.4K,67
Sensual Phrase (manga),10.0,7.4,4.6,4.1K,1
Eureka Seven (manga),5.5,7.66,4.7,684,4
Sekirei (manga),4.606060606060606,8.18,4.8,6.2K,33
Domu (manga),5.132352941176471,8.44,4.8,11.1K,272
Black Jack (manga),6.666666666666667,8.69,4.8,1.5K,6
Vampire Game (manga),4.0,7.85,4.5,477,1
From Far Away (manga),5.0,8.1,4.5,1.1K,4
Urusei Yatsura (manga),8.222222222222221,7.89,4.8,2.7K,9
Kitchen Princess (manga),6.0,8.01,4.7,1.7K,10
Tokyo Crazy Paradise (manga),6.3,8.51,4.7,4.1K,20
Clamp School Detectives (manga),10.0,6.56,4.7,197,1
Samurai Champloo (manga),6.0,7.01,4.7,420,4
Fist of the North Star (manga),4.181818181818182,7.97,2.9,9.6K,33
Crimson Hero (manga),6.8,7.15,4.8,1.3K,5
Aquarian Age: Juvenile Orion (manga),6.0,7.19,4.8,383,2
Pastel (manga),5.310344827586207,7.76,4.4,3.6K,29
(The) Voices of a Distant Star (manga),8.0,8.28,4.5,297,1
Honey and Clover (manga),6.571428571428571,8.21,4.9,840,7
3x3 Eyes (manga),5.714285714285714,7.72,4.8,6.2K,7
Princess Ai (manga),6.261180679785331,5.72,3.6,66.9K,559
Happy Hustle High (manga),6.0,7.56,4.8,220,3
K-ON! (manga),5.336336336336337,7.94,4.8,713.4K,1998
Black Bird (manga),7.607843137254902,7.46,4.7,12.9K,51
Read or Die (manga),5.0,6.82,4.6,327,4
Doubt (manga by Y. Tonogai),8.173913043478262,7.42,4.8,3.4K,23
Mysterious Girlfriend X (manga),6.12,8.03,4.8,8.5K,50
Tsukihime (manga),6.6,7.96,4.7,3.1K,40
Cromartie High School (manga),6.8,7.84,4.7,839,5
Dance in the Vampire Bund (manga),6.533333333333333,7.93,4.7,3.3K,15
Mahoromatic (manga),6.0,7.58,4.8,588,2
Backstage Prince (manga),8.0,6.72,4.8,293,1
Trinity Blood (manga),5.375,7.62,4.6,2.4K,16
King of Thorn (manga),7.142857142857143,7.92,4.5,1.2K,7
Alive (manga by T Takahashi),3.25,7.14,4.5,2.1K,8
Cage of Eden (manga),6.022988505747127,8.15,4.5,10.2K,87
Bokurano: Ours (manga),4.666666666666667,8.37,4.7,1.5K,6
Liar Game (manga),6.206896551724138,8.53,4.7,8.1K,29
Dr. Slump (manga),8.333333333333334,7.24,4.8,2K,6
07-Ghost (manga),6.470588235294118,7.55,4.7,2.7K,17
Codename: Sailor V (manga),10.0,7.21,4.8,300,1
Tokyo Mew Mew a la Mode (manga),4.666666666666667,5.86,5 /,125,3
Ai Kora (manga),5.803468208092486,7.8,4.7,33.3K,346
Beauty is the Beast (manga),4.0,7.25,4.5,418,2
Ga-Rei (manga),5.682766845557543,7.93,4.8,254.5K,1677
Touch (manga),6.46969696969697,7.82,4.8,35.8K,396
"Kodomo no Jikan (manga, K. Watashiya)",6.181818181818182,8.07,4.4,2.7K,33
No Need for Tenchi! (manga),6.0,6.9,4.9,1.2K,2
Tokyo Ghoul (manga),5.737864077669903,8.17,4.7,54.6K,206
Rozen Maiden (manga),6.0,7.58,4.8,1.3K,9
Zatch Bell (manga),7.333333333333333,7.52,4.8,9.1K,21
Oretama (manga),6.666666666666667,7.73,4.5,3K,15
Goth (manga),9.333333333333334,7.8,4.2,480,3
H2 (manga),4.51063829787234,8.55,4.2,9K,47
Lucky Star (manga by K Yoshimizu),5.25,7.82,4.8,2.3K,8
X-Day (manga by S Mizushiro),5.914893617021277,7.72,4.6,100.6K,235
Tekkonkinkreet (manga),6.0,8.03,4.5,168,2
Kiss×sis (manga),5.305841924398625,7.82,4.5,42.8K,291
Cat Street (manga),9.11111111111111,8.47,4.8,981,9
Mint na Bokura (manga),2.0,7.82,5 /,324,1
Ludwig Kakumei (manga),7.0,8.53,4.6,309,2
Alien Nine (manga),4.0,7.43,4.5,659,2
Confidential Confessions (manga),6.0,7.49,5 /,385,1
Akuma na Eros (manga),2.0,7.06,4.6,1.6K,1
Bastard!! (manga),7.145631067961165,6.91,4.8,25.1K,309
Crescent Moon (manga),5.9245283018867925,6.96,4.5,1.7K,53
Homunculus (manga),5.441860465116279,8.27,4.6,4.3K,43
(The) Flowers of Evil (manga),7.543478260869565,8.53,4.8,8.8K,92
I.O.N (manga),5.341670835417709,7.17,4.8,713.4K,1999
Peace Maker Kurogane (manga),8.8,7.66,4.6,1.6K,5
Lucifer and the Biscuit Hammer (manga),7.076923076923077,8.44,4.7,1.9K,13
Prétear (manga),10.0,7.17,4.4,346,1
Alice in the Country of Hearts (manga),3.111111111111111,7.69,4.5,1.4K,9
Baby & Me (manga),5.54054054054054,5.79,4.8,17.6K,74
Mermaid Forest (manga),9.0,7.66,4.7,536,2
Sanctuary (manga by R. Ikegami),5.2926829268292686,8.65,4.3,22.9K,164
Boku no Futatsu no Tsubasa (manga),4.5,7.33,3.8,3.7K,24
Alive (manga by T Kawashima),3.25,7.94,4.5,2.1K,8
Shadow Star (manga),6.0,7.91,4.7,552,7
Tail of the Moon (manga),5.833333333333333,8.09,4.6,2.4K,12
Manga Sutra,5.559633027522936,6.76,4.3,19K,109
Bobobo-bo Bo-bobo (manga),5.552238805970149,6.31,4.3,3.8K,67
Yellow (manga),7.666666666666667,8.01,4.8,9.1K,18
Parallel (manga),5.659229208924949,7.74,4.3,122.1K,986
We Were There (manga),3.954198473282443,8.45,4 /,4.3K,131
Pokémon Adventures (manga),6.3125,8.31,4.8,12.9K,32
Finder (manga),5.333333333333333,8.46,4.4,19.2K,30
Initial D (manga),7.419354838709677,7.53,4.7,13.3K,31
Wanted (manga),4.785100286532951,6.93,4.4,48.3K,349
"Sayonara, Zetsubou-Sensei (manga)",5.666666666666667,8.23,4.6,3K,12
Anne Freaks (manga),8.0,7.06,4.7,343,1
Sundome (manga),6.1,8.02,4.4,4.5K,40
Spice & Wolf (manga),6.827586206896552,8.46,4.8,5.1K,29
Hoshin Engi (manga),5.333333333333333,7.51,4.6,1.6K,3
Nozoki Ana (manga),5.939086294416244,8.13,4.5,18K,197
MPD-Psycho (manga),5.333333333333333,7.75,4.4,2.4K,33
Nura: Rise of the Yokai Clan (manga),6.888888888888889,8.17,4.8,8.5K,27
Gacha Gacha (manga),5.498829039812646,7.11,4.5,25.8K,427
Banana Fish (manga),5.333333333333333,7.66,4.7,3.9K,27
Bad Company (manga),6.0,7.61,4.8,280,3
Midnight Secretary (manga),8.266666666666667,7.7,4.6,6.8K,15
Ghost Hunt (manga),5.805555555555555,7.86,4.5,11.5K,216
Biomega (manga),6.75,7.65,4.8,1.9K,8
Zodiac P.I. (manga),4.666666666666667,7.05,4.8,2.1K,3
Wandering Son (manga),6.5,8.62,4.7,2.2K,4
Wild Ones (manga),3.3333333333333335,7.62,4.7,977,3
Strawberry Marshmallow (manga),6.666666666666667,7.89,4.6,1.3K,3
Girls Saurus (manga),6.0,7.44,4.8,1K,2
Kimi wa Girlfriend (manga),6.158783783783784,8.07,4.7,30.1K,1184
Hatsukoi Limited (manga),5.555555555555555,7.58,4.2,1.2K,9
Battle Vixens (manga),6.5,6.35,4.3,954,4
"NOiSE (manga, Tsutomu Nihei)",6.0508474576271185,7.72,4.8,13.1K,354
(La) Corda d'Oro (manga),6.125,7.61,4.5,1.2K,16
Yokujō Climax (manga),4.461538461538462,6.59,3.9,7.8K,13
Nisekoi - False Love (manga),6.406639004149378,7.79,4.7,44.5K,241
Goodnight Punpun (manga),5.979848866498741,8.97,4.7,35.5K,397
Devilman (manga),4.571428571428571,8.48,3.9,2K,7
(The) Drifting Classroom (manga),7.166666666666667,8.13,4.4,2K,12
Comic Party (manga by S. Inui),8.0,6.88,4.6,281,2
Hellsing: The Dawn (manga),4.0,8.01,4.9,489,3
One-Punch Man (manga),5.496309963099631,8.67,4.7,250.9K,1084
Blood Alone (manga),8.0,8.18,4.7,1.8K,5
Princess Resurrection (manga),6.4,7.97,4.7,2K,5
(The) One I Love (manga),5.821989528795812,6.84,4.4,17.4K,191
Kamisama Kiss (manga),7.968253968253968,8.33,4.8,13.4K,63
Nabari No Ou (manga),6.0,7.89,5 /,1.3K,1
A Bride's Story (manga),6.5,8.89,4.5,17.2K,128
Dragon Head (manga),5.2,7.47,4.3,2.3K,10
Kobato. (manga),10.0,7.29,4.8,1.2K,6
GTO: The Early Years (manga),7.833333333333333,7.82,4.7,5.6K,12
Puella Magi Madoka Magica (manga),6.333333333333333,8.47,4.6,843,6
Hetalia - Axis Powers (manga),4.333333333333333,8.01,4.6,977,6
Kaze Hikaru (manga Taeko Watanabe),8.5,6.66,4.6,756,4
Parfait Tic! (manga),6.8,8.28,4.5,2.2K,5
Love Roma (manga),6.118577075098814,8.07,4.7,37.3K,506
Peach Girl: Change of Heart (manga),6.0,7.75,3.7,1.3K,10
"Tenshi Ja Nai!! (manga, T. Shigematsu)",9.0,7.93,4.6,680,2
Train Man: Densha Otoko (manga),8.0,8.09,4.8,771,10
Here is Greenwood (manga),10.0,7.29,4.6,275,1
Mermaid's Scar (manga),9.0,7.79,4.7,536,2
Phoenix (manga),5.190476190476191,8.44,4.5,63.1K,168
Old Boy (manga),4.64935064935065,7.76,3.9,32.9K,154
Faster than a Kiss (manga),7.6,8.15,4.7,6.3K,15
No Bra (manga),5.755597014925373,6.98,4.8,181.8K,1072
Otomen (manga),5.6,7.35,4.9,894,5
Doraemon (manga),6.590909090909091,8.29,4.8,5.4K,44
Dogs: Bullets & Carnage (manga),5.333333333333333,8.27,4.7,1.5K,3
Desire (manga),5.945355191256831,7.71,4.7,46.1K,366
Golden Boy (manga),7.333333333333333,7.22,4.8,9.1K,21
A Certain Scientific Railgun (manga),5.906976744186046,8.03,4.6,14.1K,43
Boku ni Natta Watashi (manga),10.0,7.57,4.6,1.2K,1
Embracing Love (manga),9.0,8.44,4.7,3.2K,2
Übel Blatt (manga),5.121212121212121,8.19,4.4,13K,66
Love Celeb (manga),2.4,7.06,4.3,2.7K,5
Moe Kare!! (manga),5.809523809523809,8.52,4.8,2.2K,21
Saiyuki Gaiden (manga),10.0,8.51,4.9,586,1
Wild Rock (manga),8.0,7.5,4.3,1.6K,1
Bloody Kiss (manga),6.0,7.02,4.6,466,2
Addicted to Curry (manga),5.2,7.57,4.6,3.4K,10
REAL (manga),5.236151603498542,9.0,4.5,158.3K,343
Katsu! (manga),6.261180679785331,8.31,3.6,66.9K,559
Good Morning Call (manga),7.666666666666667,7.63,4.5,2.1K,6
Kindaichi Case Files (manga),4.0,7.71,4.7,4K,4
Tegami Bachi: Letter Bee (manga),8.8,7.91,4.7,1.4K,5
MW (manga),6.21978021978022,8.32,4.7,20.1K,91
Natsume's Book of Friends (manga),5.739130434782608,8.29,4.8,3.9K,23
Jisatsu Circle (manga),8.0,7.28,4.7,538,2
RahXephon (manga),2.0,6.12,5 /,173,1
Barefoot Gen (manga),6.0,8.39,3.7,191,2
Whispered Words (manga),6.0,8.38,4.7,1.6K,10
Astro Boy (manga),6.8,6.85,4.7,1.5K,10
Mermaid's Gaze (manga),9.0,7.84,4.7,536,2
Zetman (manga 2002),6.782608695652174,8.08,4.7,6K,23
Rin! (manga),5.411019632678911,8.05,4.7,185.3K,1579
Ichi the Killer (manga),6.583333333333333,7.79,4.6,5.6K,24
Mahoraba (manga),8.666666666666666,8.28,4.9,915,3
Our Kingdom (manga),6.0,8.12,4.5,909,2
Princess Princess (manga),5.896503496503496,7.75,4.7,112K,1430
Dorohedoro (manga),6.482758620689655,8.2,4.7,36.8K,87
Anedoki (manga),6.909090909090909,7.47,4.6,1.2K,11
Sugar Sugar Rune (manga),7.142857142857143,7.54,4.8,840,7
Tactics (manga),3.6470588235294117,7.11,3.9,2.6K,17
Wild Adapter (manga),10.0,8.22,4.5,663,1
Yorugata Aijin Senmonten - Blood Hound - DX (manga),6.0,7.49,5 /,197,1
Nijigahara Holograph (manga),9.0,7.94,4.4,598,4
Your & My Secret (manga),4.833333333333333,7.34,4.0,969,12
Ai-Ren (manga),5.742056074766355,8.41,4.8,181.9K,1070
Kannazuki no Miko: Destiny of Shrine Maiden (manga),5.405405405405405,6.81,4.1,738,37
Gon (manga),5.743571169865991,8.1,4.4,252.2K,2761
"Kyō, Koi o Hajimemasu (manga)",5.902439024390244,7.97,4.5,15.7K,41
(The) Record of a Fallen Vampire (manga),4.0,8.31,4.6,693,2
Code:Breaker (manga),5.882352941176471,6.95,4.6,6.9K,34
(The) Kurosagi Corpse Delivery Service (manga),8.75,8.15,4.5,1.6K,8
City Hunter (manga),6.470588235294118,7.75,4.7,4.4K,34
Kurohime (manga),7.571428571428571,7.64,4.5,2.6K,14
Maka-Maka (manga),5.625441696113074,7.74,4.7,73.6K,566
To Love Ru Darkness (manga),5.826086956521739,8.1,4.7,13.5K,46
Mobile Suit Gundam Wing (manga),6.0,6.06,4.5,257,1
GE - Good Ending (manga),5.522388059701493,8.42,3.4,8.7K,67
Peace Maker (manga by N. Chrono),8.8,7.63,4.6,1.6K,5
Crimson Spell (manga),3.75,8.11,4.6,5.3K,8
Zombie-Loan (manga),5.2,7.47,4.3,1.1K,5
Freezing (manga),4.466666666666667,7.58,4.3,17.8K,60
(The) Day of Revolution (manga),8.0,7.64,4.7,504,4
Strawberry Shake Sweet (manga),3.0,8.43,4.9,286,2
Crest of the Stars (manga),6.111111111111111,7.28,4.1,1.8K,18
Blood+ (manga),5.945945945945946,7.18,4.5,47.2K,148
Yu-Gi-Oh! Duelist (manga),9.428571428571429,6.96,4.7,5K,7
Rough (manga),5.413888888888889,8.54,4.7,182.7K,720
Sankarea: Undying Love (manga),6.642857142857143,8.12,4.7,10.2K,56
Historie (manga),5.343343343343343,8.68,4.8,713.8K,1998
Franken Fran (manga),5.297297297297297,7.97,4.7,9.5K,37
Pokémon (manga),6.3125,6.41,4.8,12.9K,32
Elemental Gelade (manga),8.0,7.26,4.9,1.2K,2
Whistle! (manga),2.8,6.99,4.4,1K,5
